frame,body,min_z,x,y,z
1326,0,96.264232,3732.162471,308.389333,99.883055
1326,1,93.885196,3730.975433,536.034347,101.061739
1326,2,105.571767,3733.229493,765.716363,109.200769
1326,3,102.901195,3733.691684,990.662895,110.094128
1327,0,89.718636,3733.440094,306.271268,95.882696
1327,1,86.601964,3730.145750,530.460723,98.925592
1327,2,98.896105,3734.353978,763.771184,105.080930
1327,3,95.028836,3735.335636,980.962905,107.383561
1328,0,80.961939,3734.515105,304.440720,89.789180
1328,1,77.339824,3728.966254,525.608038,94.626228
1328,2,90.015132,3735.276871,762.109812,98.866570
1328,3,85.192464,3736.615919,972.002272,102.510298
1329,0,70.055344,3735.434401,302.917447,81.593452
1329,1,66.348480,3727.616542,521.515572,88.109403
1329,2,78.989708,3736.044518,760.751921,90.548822
1329,3,73.640840,3737.711264,963.820253,95.420355
1330,0,57.057480,3736.245704,301.712501,71.286742
1330,1,53.838201,3726.275895,518.174554,79.329204
1330,2,65.878025,3736.704118,759.708563,80.119146
1330,3,60.582735,3738.800217,956.408348,86.068193
1331,0,42.023393,3736.996285,300.828524,58.861078
1331,1,39.970672,3725.112228,515.532485,68.250923
1331,2,50.734604,3737.302458,758.982535,67.569822
1331,3,46.177935,3740.050158,949.714639,74.419547
1332,0,25.003700,3737.731800,300.260448,44.309687
1332,1,24.853773,3724.272853,513.499804,54.852942
1332,2,33.609484,3737.884765,758.568980,52.894348
1332,3,30.532177,3741.608107,943.650329,60.453277
1333,0,6.043982,3738.495289,299.996134,27.627354
1333,1,8.540140,3723.877418,511.958091,39.127637
1333,2,14.547660,3738.493720,758.456067,36.087789
1333,3,13.695893,3743.593678,938.097858,44.162235
1334,0,-0.999964,3733.481396,299.604398,15.795423
1334,1,-0.958135,3721.484841,511.875597,23.076599
1334,2,-1.000004,3737.105461,758.042323,19.545001
1334,3,-0.753731,3744.990841,933.489235,26.341924
1335,0,-0.510413,3729.448500,300.255405,13.704767
1335,1,-0.999988,3717.536199,514.813734,8.979384
1335,2,-1.000001,3730.884342,757.973179,12.012243
1335,3,-0.999991,3743.566624,932.768302,10.646727
1336,0,0.423686,3727.008437,297.751398,12.121802
1336,1,-0.881276,3715.272509,515.042251,4.178590
1336,2,1.515115,3729.497547,758.316063,11.925528
1336,3,-0.845894,3743.125320,932.404036,4.341535
1337,0,0.514220,3727.076874,295.077229,14.578804
1337,1,-0.172093,3714.084644,510.908140,4.882496
1337,2,3.395998,3730.356901,757.815339,11.118128
1337,3,-0.734039,3742.790810,926.793224,6.479698
1338,0,1.170789,3728.337857,291.714223,16.663346
1338,1,-0.526629,3713.327868,505.211096,4.793069
1338,2,3.108797,3732.292232,757.063745,8.304149
1338,3,-1.000027,3742.167058,918.902572,9.103022
1339,0,0.868799,3730.039837,287.859309,16.226915
1339,1,-0.394540,3712.766397,499.171024,5.631522
1339,2,-0.449586,3734.836808,755.378453,4.946696
1339,3,-1.000019,3741.507404,913.573818,10.774300
1340,0,-1.000002,3732.177612,285.539807,15.504300
1340,1,-1.000001,3713.047438,495.300575,6.507993
1340,2,-0.999928,3736.684476,752.948826,6.545508
1340,3,-0.999988,3741.178250,909.183560,10.140625
1341,0,-0.999980,3733.465046,286.681370,16.960401
1341,1,-0.999963,3713.217094,491.719430,4.698400
1341,2,-1.004431,3738.020053,751.283314,10.355651
1341,3,-0.999997,3741.654801,905.948635,7.698960
1342,0,-0.999981,3733.453486,288.573763,17.637620
1342,1,-1.000015,3712.585171,489.938006,5.749024
1342,2,-1.044429,3739.403707,749.109061,13.425160
1342,3,-0.999993,3742.737390,904.282515,6.114692
1343,0,-0.999998,3732.598146,290.131203,16.591042
1343,1,-1.011964,3712.158433,489.321920,5.977571
1343,2,-0.999987,3740.686463,746.015994,16.206723
1343,3,-0.999985,3743.685942,903.641057,4.969645
1344,0,-0.999977,3731.436676,290.598179,15.441294
1344,1,-1.000015,3712.313941,489.346280,5.600528
1344,2,-0.999998,3740.853225,742.533806,17.789799
1344,3,-1.028085,3744.495147,903.863277,4.834139
1345,0,-0.999943,3730.420784,290.725932,14.660167
